Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1591893374.3067632,10.0.2.15,54186,10.0.2.4,80,tcp,http,13.669194,133,493,SF,7,5,0,24,24,49,0,49,49,49,64,64,1,311,1,68,152,4302.0,5973,881026723,2826728663
1591893374.307211,10.0.2.15,54188,10.0.2.4,80,tcp,http,13.678810,133,493,SF,7,5,0,25,25,50,0,50,50,50,64,64,1,311,1,68,152,4302.0,5973,3794253670,2136468350
1591893374.307591,10.0.2.15,54190,10.0.2.4,80,tcp,http,13.668357,132,493,SF,7,5,0,26,26,51,0,51,51,51,64,64,1,311,1,68,152,4302.0,5973,883980468,1630659279
1591893374.3084538,10.0.2.15,54192,10.0.2.4,80,tcp,http,13.677412,133,493,SF,7,5,0,27,27,52,0,52,52,52,64,64,1,311,1,68,152,4302.0,5973,2393527959,3450502308
1591893374.309077,10.0.2.15,54194,10.0.2.4,80,tcp,http,13.666874,132,493,SF,7,5,0,28,28,53,0,53,53,53,64,64,1,311,1,68,152,4302.0,5973,1100961998,123656112
1591893374.309505,10.0.2.15,54196,10.0.2.4,80,tcp,http,13.676227,133,493,SF,7,5,0,29,29,54,0,54,54,54,64,64,1,311,1,68,152,4302.0,5973,1038348197,2334453529
1591893374.3097892,10.0.2.15,54198,10.0.2.4,80,tcp,http,13.666085,133,493,SF,7,5,0,30,30,55,0,55,55,55,64,64,1,311,1,68,152,4302.0,5973,605309548,3508105253
1591893374.3101392,10.0.2.15,54200,10.0.2.4,80,tcp,http,13.665736,132,493,SF,7,5,0,31,31,56,0,56,56,56,64,64,1,311,1,68,152,4302.0,5973,4194167593,390374040
1591893374.3105721,10.0.2.15,54202,10.0.2.4,80,tcp,http,13.665305,131,493,SF,7,5,0,32,32,57,0,57,57,57,64,64,1,311,1,68,152,4302.0,5973,409837129,1204781436
1591893374.311155,10.0.2.15,54204,10.0.2.4,80,tcp,http,13.674393,133,493,SF,7,5,0,33,33,58,0,58,58,58,64,64,1,311,1,68,152,4302.0,5973,1589533668,2716597425
1591893374.31153,10.0.2.15,54206,10.0.2.4,80,tcp,http,13.664342,133,493,SF,7,5,0,34,34,59,0,59,59,59,64,64,1,311,1,68,152,4302.0,5973,2182001214,116003888
1591893374.311943,10.0.2.15,54208,10.0.2.4,80,tcp,http,13.673343,132,493,SF,7,5,0,35,35,60,0,60,60,60,64,64,1,311,1,68,152,4302.0,5973,198339519,2983095161
1591893374.312391,10.0.2.15,54210,10.0.2.4,80,tcp,http,13.663478,133,493,SF,7,5,0,36,36,61,0,61,61,61,64,64,1,311,1,68,152,4302.0,5973,1855692039,1019432052
1591893374.3129349,10.0.2.15,54212,10.0.2.4,80,tcp,http,13.662935,133,493,SF,7,5,0,37,37,62,0,62,62,62,64,64,1,311,1,68,152,4302.0,5973,1404077621,826828528
1591893374.313453,10.0.2.15,54214,10.0.2.4,80,tcp,http,13.671581,132,493,SF,7,5,0,38,38,63,0,63,63,63,64,64,1,311,1,68,152,4302.0,5973,2519688616,3000989241
1591893374.314063,10.0.2.15,54216,10.0.2.4,80,tcp,http,13.661802,133,493,SF,7,5,0,39,39,64,0,64,64,64,64,64,1,311,1,68,152,4302.0,5973,140073584,2152930064
1591893374.314568,10.0.2.15,54218,10.0.2.4,80,tcp,http,13.670209,133,493,SF,7,5,0,40,40,65,0,65,65,65,64,64,1,311,1,68,152,4302.0,5973,249082003,4181388993
1591893374.31514,10.0.2.15,54220,10.0.2.4,80,tcp,http,13.660727,132,493,SF,7,5,0,41,41,66,0,66,66,66,64,64,1,311,1,68,152,4302.0,5973,2808708516,3013978865
1591893374.3155448,10.0.2.15,54222,10.0.2.4,80,tcp,http,13.668888,132,493,SF,7,5,0,42,42,67,0,67,67,67,64,64,1,311,1,68,152,4302.0,5973,2064412578,3643809007
1591893374.316026,10.0.2.15,54224,10.0.2.4,80,tcp,http,13.659727,133,493,SF,7,5,0,43,43,68,0,68,68,68,64,64,1,311,1,68,152,4302.0,5973,2287958917,336715252
1591893374.316386,10.0.2.15,54226,10.0.2.4,80,tcp,http,13.659369,133,493,SF,7,5,0,44,44,69,0,69,69,69,64,64,1,311,1,68,152,4302.0,5973,3261283262,130794309
1591893374.3213642,10.0.2.15,54228,10.0.2.4,80,tcp,http,13.662988,133,493,SF,7,5,0,45,45,70,0,70,70,70,64,64,1,311,1,68,152,4302.0,5973,3615740810,3168277909
