#separator \x09,,,,,,,,,,,,,,,,,,,,,
#set_separator,",",,,,,,,,,,,,,,,,,,,,
#empty_field,(empty),,,,,,,,,,,,,,,,,,,,
#unset_field,-,,,,,,,,,,,,,,,,,,,,
#path,conn,,,,,,,,,,,,,,,,,,,,
#open,2020-07-02-02-48-06,,,,,,,,,,,,,,,,,,,,
#fields,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
#types,time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1593625700,C5wqb71Rkl5b8UaHWa,10.0.2.15,38988,10.0.2.5,3672,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CscrqBUi4lpOy2mqh,10.0.2.15,50164,10.0.2.5,2284,tcp,-,0.000024,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CbLMHB30uCaJwqGpNc,10.0.2.15,38882,10.0.2.5,2185,tcp,-,0.000007,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C57glB2S8yfsQtbFf,10.0.2.15,51588,10.0.2.5,582,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C2AbXK1ymdXojFpAEe,10.0.2.15,33592,10.0.2.5,177,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C3OYqLbJvX7fvgXo,10.0.2.15,34162,10.0.2.5,1785,tcp,-,0.00001,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CCTx9RXxUI6srlubj,10.0.2.15,44004,10.0.2.5,1644,tcp,-,0.000011,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CBlJaH3xG4fnN8234j,10.0.2.15,54040,10.0.2.5,3201,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CSlOXl4EVMIVNHRdKk,10.0.2.15,51156,10.0.2.5,136,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CQsQhQ3VBHbFUXOmAe,10.0.2.15,36856,10.0.2.5,36,tcp,-,0.000023,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CugeAJ22QZE0lIKqt3,10.0.2.15,44768,10.0.2.5,9292,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CuANNc4IVwk1V3OpZ8,10.0.2.15,50518,10.0.2.5,1695,tcp,-,0.00001,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CYVDDD1dU7WLkwKhtl,10.0.2.15,53880,10.0.2.5,9306,tcp,-,0.000006,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CD40fm3zsb8nD9KkUk,10.0.2.15,46232,10.0.2.5,4060,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CedsBB4qD2GZMT6FGl,10.0.2.15,59916,10.0.2.5,309,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cs8ruu33YLfCCJTTU,10.0.2.15,39484,10.0.2.5,2567,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CU7j7j3pEVdoslQ7x9,10.0.2.15,56446,10.0.2.5,5554,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CDJUfR2QAemdSMY2M3,10.0.2.15,47298,10.0.2.5,608,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cg90kg22RUu721vmbg,10.0.2.15,48874,10.0.2.5,6045,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CNdA4wkSx6BV5QA1c,10.0.2.15,48836,10.0.2.5,1812,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C4Ri9p1flRxco4saPc,10.0.2.15,53054,10.0.2.5,5050,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CWCMMSwQKIzSWYjud,10.0.2.15,45216,10.0.2.5,4369,tcp,-,0.000012,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,COLUmv4nonZSNMqn7g,10.0.2.15,50150,10.0.2.5,7675,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CARNmn18r6aFBOESGj,10.0.2.15,36122,10.0.2.5,35356,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cko50c4g6tYLZEXt2i,10.0.2.15,56396,10.0.2.5,1703,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CjjVe61ApZwpXbQKG1,10.0.2.15,38598,10.0.2.5,2732,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CqKw4W1iCSS629rLN4,10.0.2.15,51528,10.0.2.5,362,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CuEOvZ1yUzH2GA7tz4,10.0.2.15,47542,10.0.2.5,3356,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CULa5qGYc260eR4Uh,10.0.2.15,36348,10.0.2.5,33334,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cbtzkj12fr1djepIed,10.0.2.15,53774,10.0.2.5,6551,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CyIXB81JkpqmjK45Rk,10.0.2.15,38722,10.0.2.5,7013,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CCyqiG1mesoOownL2c,10.0.2.15,42664,10.0.2.5,2900,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C6n99C1mVQM5Go7aRe,10.0.2.15,35782,10.0.2.5,4408,tcp,-,0.000007,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
